model,seed,runtime_sec,Recall@20,NDCG@20,MRR@20,Coverage@20,param_l2_norm,margin_mean,margin_std,margin_positive_rate,sharpness_drop_recall,sharpness_drop_ndcg,sharpness_drop_mrr,interest_usage_entropy,interest_usage_max_share,interest_target_score_entropy_mean
TopPop,fixed,4.04,0.018410654289246358,0.0074893353445771565,0.0044707917833350114,0.0061,,,,,,,,,,
GRU4Rec,42,18987.59,0.20602489135628313,0.08982375373157181,0.057741884186089006,0.9823,3207.8222456767394,-3.2305588106700593,2.1772214957692433,0.02933001145214747,0.00033370495931075994,0.00016455432124261316,0.0001261372683447337,,,
GRU4Rec,43,19967.86,0.20584855862210188,0.08895488741179416,0.05667603633724282,0.9783,2890.2716387525697,-3.315066664549014,2.235820823767198,0.027934517985938885,-1.137630543104895e-05,-5.9596674049783305e-06,-7.64760227531247e-06,,,
SASRec,42,14345.02,0.20512426717632515,0.08854867018304642,0.05641143994817573,0.9601,2373.4955585914367,-3.3370153611260327,2.2727017664020126,0.027915557476887138,0.0005327903043540749,0.00012494849081881587,2.073158895005839e-05,,,
SASRec,43,23616.95,0.2168210052103479,0.0941519072766181,0.06030794938715714,0.959,3097.9863610516827,-3.5888173231618707,2.457590775141855,0.030353878940941808,7.39459853018043e-05,3.56261500420868e-05,2.9943084078609683e-05,,,
SASRec+SSL,42,23130.96,0.21411723661956877,0.09273501084178762,0.05920574676625073,0.971,2986.000082866384,-3.6045929574441917,2.4677111077127982,0.029261753619561178,0.0001156591052156597,0.00010233874493822959,9.802569517650128e-05,,,
SASRec+SSL,43,21367.03,0.21411534056866358,0.09261308394129925,0.05908111134292118,0.9667,2728.4191004186523,-3.6104767048795736,2.479095080622133,0.029426710048311377,4.36091708190256e-05,4.019312276745679e-05,3.5024474287964624e-05,,,
MINDStyleSASRec,42,8702.75,0.021049957149249544,0.008166469498051063,0.004662797483571478,0.0055,1301.7114592389107,-2.306745187551391,0.9749546161893132,0.0016628366438382139,0.0,3.2074121746892073e-06,2.8695895968556748e-06,-1.000088900581841e-12,1.0,1.3862943649291992
MINDStyleSASRec,43,12370.72,0.020869832313257945,0.008154506313392255,0.004683370021394572,0.006,1494.698663089961,-2.3811079506268222,0.9767416606306932,0.0016495642875019908,4.55052217241958e-05,1.0591904686225138e-05,2.447804056464678e-06,-1.000088900581841e-12,1.0,1.3862943649291992
ComiRecSAStyleSASRec,42,36896.33,0.23877537864136578,0.10851524306108777,0.07229770489294464,0.9898,4313.919680211793,-3.313882983396379,2.3524986445960527,0.03904727234116782,-5.4985476250102305e-05,9.504080909772394e-07,1.44548870522343e-05,1.374281910978731,0.31229285643860966,1.2508107909605906
ComiRecSAStyleSASRec,43,34804.6,0.23707082887761372,0.10683110569523006,0.07067595788101877,0.9908,3922.800092610773,-3.184566961500272,2.2609068305827407,0.03783948791457153,-2.464866176732361e-05,-1.930397379218407e-05,-1.7827235256479e-05,1.3809378448196499,0.27669829279576497,1.2514513348649219
