model,seed,subset,n_cases,Recall@20,NDCG@20,MRR@20,Coverage@20
TopPop,fixed,all,527412,0.018410654289246358,0.0074893353445771565,0.0044707917833350114,0.0061
TopPop,fixed,len_short,181217,0.015092403030620748,0.005941344643185915,0.003423401611354389,0.0033
TopPop,fixed,len_medium,171636,0.01893542147335058,0.00782275284447712,0.004750931731880083,0.004
TopPop,fixed,len_long,174559,0.02133948980001031,0.008768534841143847,0.005282682345192785,0.0061
TopPop,fixed,div_homogeneous,174457,0.017861134835518207,0.00742486643226073,0.004524402333760104,0.0061
TopPop,fixed,div_medium,174988,0.021407182206779892,0.008724935452260364,0.005224341326679144,0.0045
TopPop,fixed,div_heterogeneous,177967,0.016002966842167368,0.0063376154267986776,0.0036773027472428543,0.0035
TopPop,fixed,target_pop_head,247065,0.039301398417420516,0.015987555229409776,0.009543841645041932,0.0059
TopPop,fixed,target_pop_mid,231205,0.0,0.0,0.0,0.006
TopPop,fixed,target_pop_tail,49142,0.0,0.0,0.0,0.0054
TopPop,fixed,target_in_last1,2234,0.0,0.0,0.0,0.0037
TopPop,fixed,target_in_last3,3788,0.0,0.0,0.0,0.0037
TopPop,fixed,target_old_repeat,10183,0.0,0.0,0.0,0.0051
TopPop,fixed,target_unseen,513441,0.01891161788793649,0.007693124103361683,0.004592444382182735,0.0061
TopPop,fixed,hard_continuation,523624,0.018543840618459047,0.007543514683731316,0.004503134378928937,0.0061
GRU4Rec,42,all,527412,0.20602489135628313,0.08982375373157181,0.057741884186089006,0.9823
GRU4Rec,42,len_short,181217,0.21953790207320506,0.09576594569945336,0.06157757313948903,0.9648
GRU4Rec,42,len_medium,171636,0.2050735276981519,0.08930737092476149,0.05738921291851877,0.964
GRU4Rec,42,len_long,174559,0.19293190268046906,0.08416265162618684,0.05410666079807911,0.9621
GRU4Rec,42,div_homogeneous,174457,0.20373501779808204,0.08875706820143785,0.056996979655235216,0.9703
GRU4Rec,42,div_medium,174988,0.19838503211648797,0.08651665417849941,0.05565762910332947,0.9636
GRU4Rec,42,div_heterogeneous,177967,0.21578157748346605,0.09412114310220578,0.060521463760735285,0.9643
GRU4Rec,42,target_pop_head,247065,0.2598344565195394,0.11690844315942488,0.07716261776900439,0.9718
GRU4Rec,42,target_pop_mid,231205,0.16267814277372894,0.06760089994589737,0.041595735425612824,0.973
GRU4Rec,42,target_pop_tail,49142,0.13943266452321842,0.058208355823963984,0.03606769065515615,0.94
GRU4Rec,42,target_in_last1,2234,0.0,0.0,0.0,0.6552
GRU4Rec,42,target_in_last3,3788,0.0,0.0,0.0,0.7405
GRU4Rec,42,target_old_repeat,10183,0.0,0.0,0.0,0.855
GRU4Rec,42,target_unseen,513441,0.21163093714759826,0.09226790537389057,0.05931307126301478,0.9819
GRU4Rec,42,hard_continuation,523624,0.2075153163338579,0.09047355660373806,0.05815960044297736,0.9822
GRU4Rec,43,all,527412,0.20584855862210188,0.08895488741179416,0.05667603633724282,0.9783
GRU4Rec,43,len_short,181217,0.21985796034588367,0.09509648551314477,0.06056328695505782,0.9501
GRU4Rec,43,len_medium,171636,0.20506770141462163,0.08810406759232499,0.05589246216818055,0.9551
GRU4Rec,43,len_long,174559,0.1920725943663747,0.08341561030435178,0.053410972037336184,0.9523
GRU4Rec,43,div_homogeneous,174457,0.20297838435832324,0.08802923953756536,0.05628199413712036,0.9635
GRU4Rec,43,div_medium,174988,0.19833931469586485,0.08552347596773063,0.05442163697772809,0.9532
GRU4Rec,43,div_heterogeneous,177967,0.21604567138851585,0.09323625180501388,0.05927896977563045,0.9491
GRU4Rec,43,target_pop_head,247065,0.26527836804079896,0.11920386204420058,0.07854385074959497,0.9624
GRU4Rec,43,target_pop_mid,231205,0.1573668389524448,0.06371309057885088,0.03814474278074609,0.9662
GRU4Rec,43,target_pop_tail,49142,0.13515933417443327,0.05563444296926354,0.033920677559457095,0.9277
GRU4Rec,43,target_in_last1,2234,0.0,0.0,0.0,0.6392
GRU4Rec,43,target_in_last3,3788,0.0,0.0,0.0,0.7252
GRU4Rec,43,target_old_repeat,10183,0.0,0.0,0.0,0.8372
GRU4Rec,43,target_unseen,513441,0.21144980630685903,0.09137539674398655,0.05821822113290119,0.9778
GRU4Rec,43,hard_continuation,523624,0.2073377079736605,0.08959840473245917,0.05708604203913096,0.9783
SASRec,42,all,527412,0.20512426717632515,0.08854867018304642,0.05641143994817573,0.9601
SASRec,42,len_short,181217,0.21696639939961482,0.09309902490651158,0.058979342981512584,0.9178
SASRec,42,len_medium,171636,0.20311589643198397,0.08751261394937637,0.05565570249104295,0.9273
SASRec,42,len_long,174559,0.19480519480519481,0.08484346401092123,0.0544886749816042,0.9365
SASRec,42,div_homogeneous,174457,0.20308729371707643,0.08789128798447154,0.05612067315813971,0.9442
SASRec,42,div_medium,174988,0.19852218437835736,0.08612624550072136,0.05513048953166115,0.9275
SASRec,42,div_heterogeneous,177967,0.21361263605050373,0.09157496256605828,0.057955980528026876,0.9163
SASRec,42,target_pop_head,247065,0.2698196830793516,0.12182299342853213,0.08062655926399702,0.9385
SASRec,42,target_pop_mid,231205,0.15271728552583205,0.06097165317395758,0.03602902283554373,0.9468
SASRec,42,target_pop_tail,49142,0.12642953074762933,0.05100488981066553,0.030564064887386676,0.8998
SASRec,42,target_in_last1,2234,0.0,0.0,0.0,0.6093
SASRec,42,target_in_last3,3788,0.0,0.0,0.0,0.6914
SASRec,42,target_old_repeat,10183,0.0,0.0,0.0,0.8104
SASRec,42,target_unseen,513441,0.21070580650941392,0.09095812613052111,0.057946424936744956,0.9592
SASRec,42,hard_continuation,523624,0.2066081768597314,0.0891892488476099,0.05681953150724042,0.9601
SASRec,43,all,527412,0.2168210052103479,0.0941519072766181,0.06030794938715714,0.959
SASRec,43,len_short,181217,0.22940452606543535,0.09896997052404612,0.06296889879495209,0.9248
SASRec,43,len_medium,171636,0.21365564333822742,0.09254005158013569,0.059143474957348,0.9277
SASRec,43,len_long,174559,0.20686988353507982,0.09073493935638652,0.05869048173669131,0.9308
SASRec,43,div_homogeneous,174457,0.2162767902692354,0.09473119007092627,0.06118807478249694,0.9419
SASRec,43,div_medium,174988,0.2090429057992548,0.09063976019037492,0.05799370700789747,0.9264
SASRec,43,div_heterogeneous,177967,0.22500238808318396,0.09703740658761902,0.061720686632641346,0.9235
SASRec,43,target_pop_head,247065,0.28752352619755933,0.1309043404650262,0.08727357806633455,0.9373
SASRec,43,target_pop_mid,231205,0.1584957072727666,0.06335278518979214,0.037513988285844624,0.9459
SASRec,43,target_pop_tail,49142,0.13576980993854543,0.05428114736433433,0.03197810377257051,0.899
SASRec,43,target_in_last1,2234,0.0,0.0,0.0,0.5981
SASRec,43,target_in_last3,3788,0.0,0.0,0.0,0.6801
SASRec,43,target_old_repeat,10183,0.0,0.0,0.0,0.8029
SASRec,43,target_unseen,513441,0.22272081894511736,0.09671383025620414,0.06194896044955373,0.9587
SASRec,43,hard_continuation,523624,0.21838953141949186,0.09483302087103672,0.06074422906929268,0.9589
SASRec+SSL,42,all,527412,0.21411723661956877,0.09273501084178762,0.05920574676625073,0.971
SASRec+SSL,42,len_short,181217,0.22698753428210378,0.09834363448423668,0.06276627355026494,0.9386
SASRec+SSL,42,len_medium,171636,0.21314293038756438,0.09184130453489227,0.05837634602068114,0.9448
SASRec+SSL,42,len_long,174559,0.20171403365051357,0.08779120516620859,0.056324927353604504,0.9472
SASRec+SSL,42,div_homogeneous,174457,0.2122758043529351,0.09200333620482527,0.05876777574723192,0.9545
SASRec+SSL,42,div_medium,174988,0.20647701556678172,0.08954782538249959,0.05728232715360639,0.9445
SASRec+SSL,42,div_heterogeneous,177967,0.22343468171065423,0.09658608981311621,0.061526303168518474,0.9374
SASRec+SSL,42,target_pop_head,247065,0.28042417987169366,0.12739280009860582,0.08469124533484297,0.9518
SASRec+SSL,42,target_pop_mid,231205,0.16104323003395254,0.06433534031724024,0.038021069496417925,0.9597
SASRec+SSL,42,target_pop_tail,49142,0.13045867079076962,0.05210620291561834,0.030745948718195342,0.9158
SASRec+SSL,42,target_in_last1,2234,0.0,0.0,0.0,0.6291
SASRec+SSL,42,target_in_last3,3788,0.0,0.0,0.0,0.7099
SASRec+SSL,42,target_old_repeat,10183,0.0,0.0,0.0,0.8212
SASRec+SSL,42,target_unseen,513441,0.21994347938711556,0.0952583793232112,0.06081676631488691,0.9703
SASRec+SSL,42,hard_continuation,523624,0.2156662032297985,0.09340587432602188,0.0596340528957455,0.9707
SASRec+SSL,43,all,527412,0.21411534056866358,0.09261308394129925,0.05908111134292118,0.9667
SASRec+SSL,43,len_short,181217,0.22622049807689124,0.09732323251372167,0.06173466751628812,0.9357
