model,seed,subset,n_cases,Recall@20,NDCG@20,MRR@20,Coverage@20
FMLP-Rec,42,all,558270,0.0207390689093091,0.0082838808996589,0.0049151072658032,0.14235
FMLP-Rec,42,div_heterogeneous,184229,0.0165012023079971,0.0064002130116901,0.0036808836016615,0.1222
FMLP-Rec,42,div_homogeneous,184229,0.0231831036373209,0.0094322013589801,0.005698323286079,0.1294
FMLP-Rec,42,div_medium,189812,0.02248013824205,0.0089975993233219,0.0053528492801215,0.1262
FMLP-Rec,42,len_long,187368,0.0206171811622048,0.0081026505174517,0.0047279198026413,0.1245
FMLP-Rec,42,len_medium,182053,0.0209279715247757,0.0083435550492945,0.0049433483333167,0.12015
FMLP-Rec,42,len_short,188849,0.0206778960968816,0.0084061633384845,0.0050736019866315,0.11535
FMLP-Rec,42,target_pop_head,299382,0.0372667695452632,0.0149724177274109,0.0089397931766345,0.13115
FMLP-Rec,42,target_pop_mid,213442,0.0019677476785262,0.0006649977397686,0.0003162036567022,0.1302
FMLP-Rec,42,target_pop_tail,45446,2.200413677771421e-05,5.091277849750455e-06,1.1581124619849585e-06,0.1043
FMLP-Rec,43,all,558270,0.0236802980636609,0.0097272081747281,0.0059145737896486,0.17035
FMLP-Rec,43,div_heterogeneous,184229,0.0199859956901465,0.0085647637855955,0.0054525367241352,0.14605
FMLP-Rec,43,div_homogeneous,184229,0.0257342763625704,0.0105570707144526,0.0063993306363031,0.15375
FMLP-Rec,43,div_medium,189812,0.0252723747708258,0.0100500076896934,0.0058925222725693,0.1476
FMLP-Rec,43,len_long,187368,0.0249028649502583,0.0096271066486708,0.0054655824261298,0.13995
FMLP-Rec,43,len_medium,182053,0.0232624565373819,0.0094241007776153,0.0056477125476076,0.14645
FMLP-Rec,43,len_short,188849,0.0228701237496624,0.0101187243262611,0.0066173019136899,0.1457
FMLP-Rec,43,target_pop_head,299382,0.0428716489301294,0.0175958534875969,0.010689278339149,0.1552
FMLP-Rec,43,target_pop_mid,213442,0.0017943984782751,0.0007585000568217,0.0004755464332981,0.1566
FMLP-Rec,43,target_pop_tail,45446,4.400827355542842e-05,1.3883064594715872e-05,5.501034194428553e-06,0.1261
FMLP-Rec,44,all,558270,0.0198918086230676,0.0079075272377713,0.0046513732161664,0.15455
FMLP-Rec,44,div_heterogeneous,184229,0.0154210249200723,0.0059956044725866,0.0034411856237953,0.13445
FMLP-Rec,44,div_homogeneous,184229,0.0232373839080709,0.0094764868594342,0.0057187276781662,0.1393
FMLP-Rec,44,div_medium,189812,0.0209839209322908,0.0082404026985844,0.0047900051507921,0.13575
FMLP-Rec,44,len_long,187368,0.020478416805431,0.0079717306744405,0.0045712504926286,0.12875
