model,seed,subset,n_cases,Recall@20,NDCG@20,MRR@20,Coverage@20
TopPop,fixed,all,527412,0.018410654289246358,0.0074893353445771565,0.0044707917833350114,0.0061
TopPop,fixed,len_short,181217,0.015092403030620748,0.005941344643185915,0.003423401611354389,0.0033
TopPop,fixed,len_medium,171636,0.01893542147335058,0.00782275284447712,0.004750931731880083,0.004
TopPop,fixed,len_long,174559,0.02133948980001031,0.008768534841143847,0.005282682345192785,0.0061
TopPop,fixed,div_homogeneous,174457,0.017861134835518207,0.00742486643226073,0.004524402333760104,0.0061
TopPop,fixed,div_medium,174988,0.021407182206779892,0.008724935452260364,0.005224341326679144,0.0045
TopPop,fixed,div_heterogeneous,177967,0.016002966842167368,0.0063376154267986776,0.0036773027472428543,0.0035
TopPop,fixed,target_pop_head,247065,0.039301398417420516,0.015987555229409776,0.009543841645041932,0.0059
TopPop,fixed,target_pop_mid,231205,0.0,0.0,0.0,0.006
TopPop,fixed,target_pop_tail,49142,0.0,0.0,0.0,0.0054
TopPop,fixed,target_in_last1,2234,0.0,0.0,0.0,0.0037
TopPop,fixed,target_in_last3,3788,0.0,0.0,0.0,0.0037
TopPop,fixed,target_old_repeat,10183,0.0,0.0,0.0,0.0051
TopPop,fixed,target_unseen,513441,0.01891161788793649,0.007693124103361683,0.004592444382182735,0.0061
TopPop,fixed,hard_continuation,523624,0.018543840618459047,0.007543514683731316,0.004503134378928937,0.0061
GRU4Rec,42,all,527412,0.20602489135628313,0.08982375373157181,0.057741884186089006,0.9823
GRU4Rec,42,len_short,181217,0.21953790207320506,0.09576594569945336,0.06157757313948903,0.9648
GRU4Rec,42,len_medium,171636,0.2050735276981519,0.08930737092476149,0.05738921291851877,0.964
GRU4Rec,42,len_long,174559,0.19293190268046906,0.08416265162618684,0.05410666079807911,0.9621
GRU4Rec,42,div_homogeneous,174457,0.20373501779808204,0.08875706820143785,0.056996979655235216,0.9703
GRU4Rec,42,div_medium,174988,0.19838503211648797,0.08651665417849941,0.05565762910332947,0.9636
GRU4Rec,42,div_heterogeneous,177967,0.21578157748346605,0.09412114310220578,0.060521463760735285,0.9643
GRU4Rec,42,target_pop_head,247065,0.2598344565195394,0.11690844315942488,0.07716261776900439,0.9718
GRU4Rec,42,target_pop_mid,231205,0.16267814277372894,0.06760089994589737,0.041595735425612824,0.973
GRU4Rec,42,target_pop_tail,49142,0.13943266452321842,0.058208355823963984,0.03606769065515615,0.94
GRU4Rec,42,target_in_last1,2234,0.0,0.0,0.0,0.6552
GRU4Rec,42,target_in_last3,3788,0.0,0.0,0.0,0.7405
GRU4Rec,42,target_old_repeat,10183,0.0,0.0,0.0,0.855
GRU4Rec,42,target_unseen,513441,0.21163093714759826,0.09226790537389057,0.05931307126301478,0.9819
GRU4Rec,42,hard_continuation,523624,0.2075153163338579,0.09047355660373806,0.05815960044297736,0.9822
